year,title,category,nominee,artist,nominated,decade
2019,62nd Annual GRAMMY Awards  (2019),Best Urban Contemporary Album,Cuz I Love You (Deluxe),Lizzo,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Urban Contemporary Album,Apollo XXI,Steve Lacy,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Urban Contemporary Album,Overload,Georgia Anne Muldrow,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Urban Contemporary Album,Saturn,NAO,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Urban Contemporary Album,Being Human In Public,Jessie Reyez,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best R&B Album,Ventura,Anderson .Paak,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best R&B Album,1123,BJ The Chicago Kid,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best R&B Album,Painted,Lucky Daye,True,2010
2018,61st Annual GRAMMY Awards  (2018),Best New Artist,Dua Lipa,Dua Lipa,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best R&B Album,Ella Mai,Ella Mai,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best R&B Album,Paul,PJ Morton,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Rap Performance,Racks In The Middle,Nipsey Hussle Featuring Roddy Ricch & Hit-Boy,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Rap Performance,Middle Child,J. Cole,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Rap Performance,Suge,DaBaby,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Rap Performance,Down Bad,"Dreamville Featuring J.I.D, Bas, J. Cole, EARTHGANG & Young Nudy",True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Rap Performance,Clout,Offset Featuring Cardi B,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Rap/Sung Performance,Higher,DJ Khaled Featuring Nipsey Hussle & John Legend,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Rap/Sung Performance,Drip Too Hard,Lil Baby & Gunna,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Rap/Sung Performance,Panini,Lil Nas X,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Rap/Sung Performance,Ballin',Mustard Featuring Roddy Ricch,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Rap/Sung Performance,The London,Young Thug Featuring J. Cole & Travis Scott,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Rap Song,A Lot,21 Savage Featuring J. Cole,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Rap Song,Bad Idea,YBN Cordae Featuring Chance The Rapper,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Rap Song,Gold Roses,Rick Ross Featuring Drake,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Rap Song,Racks In The Middle,Nipsey Hussle Featuring Roddy Ricch & Hit-Boy,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Rap Song,Suge,DaBaby,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Rap Album,Igor,"Tyler, The Creator",True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Rap Album,Revenge Of The Dreamers III,Dreamville,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Rap Album,Championships,Meek Mill,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Rap Album,I Am > I Was,21 Savage,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Rap Album,The Lost Boy,YBN Cordae,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Country Solo Performance,Ride Me Back Home,Willie Nelson,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Country Solo Performance,All Your’n,Tyler Childers,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Country Solo Performance,Girl Goin' Nowhere,Ashley McBryde,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Country Solo Performance,God's Country,Blake Shelton,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Country Solo Performance,Bring My Flowers Now,Tanya Tucker,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Country Duo/Group Performance,Speechless,Dan + Shay,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Country Duo/Group Performance,Brand New Man,Brooks & Dunn With Luke Combs,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Country Duo/Group Performance,I Don't Remember Me (Before You),Brothers Osborne,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Country Duo/Group Performance,The Daughters,Little Big Town,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Country Duo/Group Performance,Common,Maren Morris Featuring Brandi Carlile,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Country Song,Bring My Flowers Now,Tanya Tucker,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Country Song,Girl Goin' Nowhere,Ashley McBryde,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Country Song,It All Comes Out In The Wash,Miranda Lambert,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Country Song,Some Of It,Eric Church,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Country Song,Speechless,Dan + Shay,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Country Album,While I'm Livin',Tanya Tucker,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Country Album,Desperate Man,Eric Church,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Country Album,Stronger Than The Truth,Reba McEntire,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Country Album,Interstate Gospel,Pistol Annies,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Country Album,Center Point Road,Thomas Rhett,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best New Age Album,Wings,Peter Kater,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best New Age Album,Fairy Dreams,David Arkenstone,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best New Age Album,Homage To Kindness,David Darling,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best New Age Album,Verve,Sebastian Plano,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best New Age Album,Deva,Deva Premal,True,2010
2015,58th Annual GRAMMY Awards  (2015),Best Contemporary Classical Composition,Paulus: Prayers & Remembrances,Stephen Paulus,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Improvised Jazz Solo,Sozinho,Randy Brecker,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Improvised Jazz Solo,Elsewhere,Melissa Aldana,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Improvised Jazz Solo,Tomorrow Is The Question,Julian Lage,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Improvised Jazz Solo,The Windup,Branford Marsalis,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Improvised Jazz Solo,Sightseeing,Christian McBride,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Jazz Vocal Album,12 Little Spells,Esperanza Spalding,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Jazz Vocal Album,Thirsty Ghost,Sara Gazarek,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Jazz Vocal Album,Love & Liberation,Jazzmeia Horn,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Jazz Vocal Album,Alone Together,Catherine Russell,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Jazz Vocal Album,Screenplay,Tierney Sutton Band,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Jazz Instrumental Album,Finding Gabriel,Brad Mehldau,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Jazz Instrumental Album,In The Key Of The Universe,Joey DeFrancesco,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Jazz Instrumental Album,The Secret Between The Shadow And The Soul,Branford Marsalis Quartet,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Jazz Instrumental Album,Christian McBride's New Jawn,Christian McBride’s New Jawn,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Jazz Instrumental Album,Come What May,Joshua Redman Quartet,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Large Jazz Ensemble Album,The Omni-American Book Club,Brian Lynch Big Band,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Large Jazz Ensemble Album,Triple Helix,Anat Cohen Tentet,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Large Jazz Ensemble Album,Dancer In Nowhere,Miho Hazama,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Large Jazz Ensemble Album,Hiding Out,Mike Holober & The Gotham Jazz Orchestra,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Large Jazz Ensemble Album,One Day Wonder,Terraza Big Band,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Latin Jazz Album,Antidote,Chick Corea & The Spanish Heart Band,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Latin Jazz Album,Sorte!: Music By John Finbury,"Thalma de Freitas With Vitor Gonçalves, John Patitucci, Chico Pinheiro, Rogerio Boccato & Duduka Da Fonseca",True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Latin Jazz Album,Una Noche Con Rubén Blades,Jazz At Lincoln Center Orchestra With Wynton Marsalis Featuring Rubén Blades,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Latin Jazz Album,Carib,David Sánchez,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Latin Jazz Album,Sonero: The Music Of Ismael Rivera,Miguel Zenón,True,2010
2019,62nd Annual GRAMMY Awards  (2019),"Best Engineered Album, Classical",Aequa - Anna Thorvaldsdóttir,International Contemporary Ensemble,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Gospel Performance/Song,Love Theory,"Kirk Franklin; Kirk Franklin, songwriter",True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Gospel Performance/Song,Talkin' 'Bout Jesus,Gloria Gaynor Featuring Yolanda Adams,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Gospel Performance/Song,See The Light,Travis Greene Featuring Jekalyn Carr,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Gospel Performance/Song,Speak The Name,Koryn Hawthorne Featuring Natalie Grant,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Gospel Performance/Song,This Is A Move (Live),"Tasha Cobbs Leonard; Tony Brown, Brandon Lake, Tasha Cobbs Leonard & Nate Moore",True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Contemporary Christian Music Performance/Song,God Only Knows,for KING & COUNTRY & Dolly Parton,True,2010
